Name,Knockdowns,Strikes,Takedowns,Submission Attempts,Weight Class,Win Method,Event Name,Event Location,Event Date
"Sean Strickland","1","81","0","0","Middleweight","KO/TKOPunches","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Abus Magomedov","0","47","1","0","Middleweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Grant Dawson","0","30","3","1","Lightweight","U-DEC","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Damir Ismagulov","0","13","0","0","Lightweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Michael Morales","0","72","1","0","Welterweight","U-DEC","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Max Griffin","0","36","0","0","Welterweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Ariane Lipski","0","66","1","0","Women'sFlyweight","S-DEC","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Melissa Gatto","0","85","0","0","Women'sFlyweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Benoit Saint","0","13","2","2","Lightweight","SUBRearNakedChoke","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Ismael Bonfim","0","14","0","0","Lightweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Nursulton Ruziboev","0","6","1","0","Middleweight","KO/TKOPunches","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Brunno Ferreira","0","3","0","0","Middleweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Rinat Fakhretdinov","1","11","0","1","Welterweight","SUBGuillotineChoke","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Kevin Lee","0","3","0","0","Welterweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Joanderson Brito","0","22","1","0","Featherweight","KO/TKOPunches","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Westin Wilson","0","4","0","2","Featherweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Karol Rosa","0","66","1","0","Women'sFeatherweight","S-DEC","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Yana Santos","0","95","0","0","Women'sFeatherweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Elves Brener","1","65","2","0","Lightweight","KO/TKOPunch","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Guram Kutateladze","0","85","1","0","Lightweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Luana Carolina","0","41","1","0","Women'sFlyweight","U-DEC","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Ivana Petrovic","0","22","2","2","Women'sFlyweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Alexandr Romanov","0","85","2","0","Heavyweight","U-DEC","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Blagoy Ivanov","0","44","0","0","Heavyweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Ilia Topuria","1","152","3","0","Featherweight","U-DEC","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Josh Emmett","0","87","0","0","Featherweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Maycee Barber","0","81","0","0","Women'sFlyweight","KO/TKOElbows","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Amanda Ribas","0","35","2","0","Women'sFlyweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Austen Lane","0","3","0","0","Heavyweight","CNC","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Justin Tafa","0","0","0","0","Heavyweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"David Onama","1","53","0","0","Featherweight","KO/TKOPunch","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Gabriel Santos","0","39","2","2","Featherweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Brendan Allen","1","30","0","1","Middleweight","SUBRearNakedChoke","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Bruno Silva","0","20","0","0","Middleweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Neil Magny","0","29","0","0","Welterweight","S-DEC","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Phil Rowe","0","34","1","0","Welterweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Randy Brown","0","64","2","0","Welterweight","U-DEC","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Wellington Turman","0","55","0","0","Welterweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Mateusz Rebecki","2","54","1","1","Lightweight","KO/TKOPunch","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Loik Radzhabov","0","19","0","0","Lightweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Tabatha Ricci","0","100","3","0","Women'sStrawweight","U-DEC","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Gillian Robertson","0","76","1","0","Women'sStrawweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Joshua Van","0","120","0","0","Flyweight","S-DEC","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Zhalgas Zhumagulov","0","103","1","0","Flyweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Chepe Mariscal","0","71","4","1","Lightweight","U-DEC","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Trevor Peek","0","51","0","0","Lightweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Jack Jenkins","0","59","1","0","Featherweight","S-DEC","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Jamall Emmers","0","57","1","0","Featherweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Sedriques Dumas","0","17","0","0","Middleweight","U-DEC","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Cody Brundage","0","3","2","1","Middleweight","Lost","UFC Fight Night: Emmett vs. Topuria","Jacksonville, Florida, USA","June 24, 2023"
"Jared Cannonier","0","241","4","0","Middleweight","U-DEC","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Marvin Vettori","0","153","1","0","Middleweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Arman Tsarukyan","0","80","4","0","Lightweight","KO/TKOPunches","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Joaquim Silva","0","23","0","0","Lightweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Armen Petrosyan","0","89","1","0","Middleweight","U-DEC","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Leroy Duncan","0","59","0","0","Middleweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Pat Sabatini","0","27","2","1","Featherweight","SUBArmTriangle","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Lucas Almeida","0","2","0","0","Featherweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Manuel Torres","1","13","0","0","Lightweight","KO/TKOElbow","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Nikolas Motta","0","7","0","0","Lightweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Nicolas Dalby","0","86","2","0","Welterweight","U-DEC","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Muslim Salikhov","0","57","2","0","Welterweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Alessandro Costa","1","65","0","0","Flyweight","KO/TKOElbows","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Jimmy Flick","0","14","0","0","Flyweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Kyung Ho","1","22","1","1","Bantamweight","SUBRearNakedChoke","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Cristian Quinonez","0","13","0","0","Bantamweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Carlos Hernandez","0","102","2","0","Flyweight","U-DEC","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Denys Bondar","0","76","2","0","Flyweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Tereza Bleda","0","57","3","0","Women'sFlyweight","U-DEC","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Gabriella Fernandes","0","23","0","0","Women'sFlyweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Dan Argueta","0","4","1","2","Bantamweight","Overturned","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Ronnie Lawrence","0","1","0","0","Bantamweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Modestas Bukauskas","0","56","0","0","LightHeavyweight","U-DEC","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Zac Pauga","0","67","1","0","LightHeavyweight","Lost","UFC Fight Night: Vettori vs. Cannonier","Las Vegas, Nevada, USA","June 17, 2023"
"Amanda Nunes","0","142","6","0","Women'sBantamweight","U-DEC","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Irene Aldana","0","41","0","0","Women'sBantamweight","Lost","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Charles Oliveira","1","26","0","0","Lightweight","KO/TKOPunches","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Beneil Dariush","0","12","0","0","Lightweight","Lost","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Mike Malott","1","19","2","1","Welterweight","SUBGuillotineChoke","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Adam Fugitt","0","9","0","0","Welterweight","Lost","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Dan Ige","1","88","0","0","Featherweight","U-DEC","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Nate Landwehr","0","74","0","0","Featherweight","Lost","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Marc-Andre Barriault","1","95","0","0","Middleweight","U-DEC","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Eryk Anders","0","83","1","0","Middleweight","Lost","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Nassourdine Imavov","0","57","3","1","Middleweight","CNC","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Chris Curtis","0","26","0","0","Middleweight","Lost","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Jasmine Jasudavicius","0","67","1","0","Women'sFlyweight","U-DEC","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Miranda Maverick","0","63","0","0","Women'sFlyweight","Lost","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Aiemann Zahabi","1","5","0","0","Bantamweight","KO/TKOPunch","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Zahabi Aoriqileng","0","5","0","0","Bantamweight","Lost","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Kyle Nelson","0","59","0","0","Featherweight","U-DEC","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Blake Bilder","0","45","0","0","Featherweight","Lost","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Steve Erceg","0","54","3","1","Flyweight","U-DEC","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"David Dvorak","0","53","1","0","Flyweight","Lost","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Diana Belbita","0","106","1","0","Women'sStrawweight","U-DEC","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Maria Oliveira","0","64","2","0","Women'sStrawweight","Lost","UFC 289: Nunes vs. Aldana","Vancouver, British Columbia, Canada","June 10, 2023"
"Amir Albazi","0","43","1","1","Flyweight","S-DEC","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Kai Kara-France","0","99","2","0","Flyweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Alex Caceres","0","60","1","0","Featherweight","U-DEC","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Daniel Pineda","0","27","3","1","Featherweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Jim Miller","1","3","0","0","Lightweight","KO/TKOPunch","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Jesse Butler","0","1","0","0","Lightweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Tim Elliott","0","28","6","0","Flyweight","U-DEC","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Victor Altamirano","0","19","1","0","Flyweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Karine Silva","0","3","1","1","Women'sFlyweight","SUBOther-Lock","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Ketlen Souza","0","0","0","0","Women'sFlyweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Elizeu Zaleski","0","42","0","0","Welterweight","S-DEC","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Abubakar Nurmagomedov","0","29","1","0","Welterweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Daniel Santos","0","50","3","0","Bantamweight","U-DEC","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Johnny Munoz","0","18","1","1","Bantamweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Don'Tale Mayes","1","25","0","0","Heavyweight","KO/TKOPunch","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Andrei Arlovski","0","24","0","0","Heavyweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"John Castaneda","1","40","3","0","Bantamweight","U-DEC","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Muin Gafurov","0","61","0","0","Bantamweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Muhammad Naimov","1","28","0","0","Lightweight","KO/TKOPunch","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Jamie Mullarkey","0","39","3","0","Lightweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Elise Reed","0","53","0","0","Women'sStrawweight","U-DEC","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Yu Frey","0","28","3","0","Women'sStrawweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Da'Mon Blackshear","0","66","1","0","Bantamweight","KO/TKOPunches","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Luan Lacerda","0","28","1","1","Bantamweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Philipe Lins","0","45","1","0","LightHeavyweight","U-DEC","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Maxim Grishin","0","41","0","0","LightHeavyweight","Lost","UFC Fight Night: Kara-France vs. Albazi","Las Vegas, Nevada, USA","June 03, 2023"
"Mackenzie Dern","1","126","3","0","Women'sStrawweight","U-DEC","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Angela Hill","0","66","0","0","Women'sStrawweight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Anthony Hernandez","0","63","6","4","Middleweight","KO/TKOElbows","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Edmen Shahbazyan","0","30","1","1","Middleweight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Loopy Godinez","0","132","1","0","CatchWeight","U-DEC","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Emily Ducote","0","112","0","0","CatchWeight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Joaquin Buckley","1","26","2","0","Welterweight","KO/TKOKick","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Andre Fialho","0","22","0","0","Welterweight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Diego Ferreira","1","30","0","0","Lightweight","KO/TKOPunch","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Michael Johnson","0","32","0","0","Lightweight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Viacheslav Borshchev","3","85","0","0","Lightweight","KO/TKOPunch","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Borshchev Maheshate","0","32","0","0","Lightweight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Karolina Kowalkiewicz","0","139","0","0","Women'sStrawweight","U-DEC","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Vanessa Demopoulos","0","68","0","0","Women'sStrawweight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Gilbert Urbina","1","51","2","1","Welterweight","KO/TKOKick","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Orion Cosce","0","16","0","0","Welterweight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Rodrigo Nascimento","0","68","0","0","Heavyweight","S-DEC","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Ilir Latifi","0","49","2","0","Heavyweight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Chase Hooper","0","149","1","1","Lightweight","U-DEC","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Nick Fiore","0","51","4","0","Lightweight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Natalia Silva","1","20","0","0","Women'sFlyweight","KO/TKOPunch","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Victoria Leonardo","0","7","0","0","Women'sFlyweight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Themba Gorimbo","1","33","3","0","Welterweight","U-DEC","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Takashi Sato","0","30","2","0","Welterweight","Lost","UFC Fight Night: Dern vs. Hill","Las Vegas, Nevada, USA","May 20, 2023"
"Jailton Almeida","0","4","1","1","Heavyweight","SUBRearNakedChoke","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Jairzinho Rozenstruik","0","0","0","0","Heavyweight","Lost","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Johnny Walker","0","92","1","0","LightHeavyweight","U-DEC","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Anthony Smith","0","38","1","0","LightHeavyweight","Lost","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Ian Garry","1","23","0","0","Welterweight","KO/TKOKick","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Daniel Rodriguez","0","7","0","0","Welterweight","Lost","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Carlos Ulberg","1","13","0","0","LightHeavyweight","KO/TKOPunches","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Ihor Potieria","0","5","0","0","LightHeavyweight","Lost","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Alex Morono","0","33","0","1","Welterweight","SUBGuillotineChoke","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Tim Means","0","40","2","0","Welterweight","Lost","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Matt Brown","1","11","0","0","Welterweight","KO/TKOPunch","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Court McGee","0","8","1","0","Welterweight","Lost","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Karl Williams","0","70","1","0","Heavyweight","U-DEC","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Chase Sherman","0","54","0","0","Heavyweight","Lost","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Douglas Silva","0","61","0","0","CatchWeight","U-DEC","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Cody Stamann","1","54","1","0","CatchWeight","Lost","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Mandy Bohm","0","17","2","1","Women'sFlyweight","S-DEC","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Yeon Kim","0","10","0","1","Women'sFlyweight","Lost","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Bryan Battle","1","3","0","0","Welterweight","KO/TKOPunch","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Gabe Green","0","6","0","0","Welterweight","Lost","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Tainara Lisboa","0","42","1","1","Women'sBantamweight","SUBRearNakedChoke","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Jessica-Rose Clark","0","26","1","0","Women'sBantamweight","Lost","UFC Fight Night: Rozenstruik vs. Almeida","Charlotte, North Carolina, USA","May 13, 2023"
"Aljamain Sterling","0","135","4","0","Bantamweight","S-DEC","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Henry Cejudo","0","99","3","0","Bantamweight","Lost","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Belal Muhammad","0","132","0","0","Welterweight","U-DEC","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Gilbert Burns","0","81","0","0","Welterweight","Lost","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Yan Xiaonan","1","26","0","0","Women'sStrawweight","KO/TKOPunch","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Jessica Andrade","0","12","0","0","Women'sStrawweight","Lost","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Movsar Evloev","0","88","4","0","Featherweight","U-DEC","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Diego Lopes","0","37","0","4","Featherweight","Lost","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Charles Jourdain","0","80","0","0","Featherweight","U-DEC","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Kron Gracie","0","32","0","0","Featherweight","Lost","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Matt Frevola","1","35","0","0","Lightweight","KO/TKOPunch","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Drew Dober","0","20","0","0","Lightweight","Lost","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Kennedy Nzechukwu","0","62","0","1","LightHeavyweight","SUBGuillotineChoke","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Devin Clark","0","36","1","0","LightHeavyweight","Lost","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Khaos Williams","0","130","0","0","Welterweight","S-DEC","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
"Rolando Bedoya","0","149","0","0","Welterweight","Lost","UFC 288: Sterling vs. Cejudo","Newark, New Jersey, USA","May 06, 2023"
